"filename", "language", "Markdown", "JavaScript", "MS SQL", "YAML", "XML", "TypeScript", "Shell Script", "JSON with Comments", "Docker", "JSON", "Ignore", "Properties", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 4, 26
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/signup/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 3, 6, 35
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/agents/AgentCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 213, 0, 8, 15, 236
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/agents/CreateAgentDialog.temp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 383, 0, 12, 33, 428
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/agents/CreateAgentDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 438, 0, 18, 37, 493
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/agents/wizard/AgentCreationWizard.temp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 295, 0, 14, 41, 350
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/agents/wizard/AgentCreationWizard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 207, 0, 13, 32, 252
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/agents/wizard/AgentTemplateGallery.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 185, 0, 2, 23, 210
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/agents/wizard/steps/ArchetypeSelector.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 182, 0, 1, 19, 202
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/agents/wizard/steps/BusinessStep.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 3, 31
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/agents/wizard/steps/ConversationFlows.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 164, 0, 2, 17, 183
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/agents/wizard/steps/PersonalityTraits.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 175, 0, 1, 20, 196
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/agents/wizard/steps/ReviewPrompt.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 6, 118
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/agents/wizard/steps/ReviewStep.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 10, 66
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/agents/wizard/steps/index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 46
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/analytics/AnalyticsCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 346, 0, 3, 27, 376
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/analytics/AnalyticsDashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 2, 12, 112
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/analytics/ConversationHeatmap.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 383, 0, 35, 65, 483
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/analytics/PeriodFilter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 181, 0, 1, 16, 198
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/analytics/ValueMetricsCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 368, 0, 19, 39, 426
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/attendants/AttendantCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 164, 0, 1, 11, 176
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/attendants/CreateAttendantModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 334, 0, 8, 25, 367
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/auth/LoginForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 162, 0, 2, 17, 181
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/auth/LogoutButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 1, 8, 69
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/auth/SignUpForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 224, 0, 5, 17, 246
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/channels/ChannelCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 411, 0, 20, 36, 467
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/channels/CreateChannelDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 519, 0, 14, 26, 559
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/channels/QRCodeModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 408, 0, 40, 49, 497
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/dashboard/StatCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 5, 74
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/dashboard/TotalizadorCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 6, 94
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/dashboard/TotalizadoresGrid.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 7, 62
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/knowledge-base/CreateKnowledgeBaseDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 325, 0, 20, 40, 385
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/knowledge/KnowledgeBaseList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 0, 3, 13, 127
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/knowledge/KnowledgeBaseUploader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 4, 21, 134
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/landing/FeaturesSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 0, 2, 8, 144
"/home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/landing/Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 166, 0, 1, 10, 177
